lat,lon,leng,color
40.868495,-5.780922,es,blue
42.688132,-4.431082,es,blue
38.494099,-0.774262,ca,aquamarine
38.001554,-1.273449,en,yellow
41.521232,2.232756,es,blue
41.650294,2.758153,es,blue
38.395697,-0.705859,ca,aquamarine
39.447544,-0.448934,es,blue
28.917743,-13.704493,pt,black
36.519213,-4.636376,es,blue
40.898972,-5.011357,es,blue
41.704912,2.867042,en,yellow
40.333932,-4.238491,es,blue
28.22555,-16.850939,ca,aquamarine
42.187601,-7.613349,es,blue
37.965058,-4.278457,es,blue
36.635375,-5.031156,es,blue
42.361795,1.899076,es,blue
36.154028,-5.370787,es,blue
36.719187,-3.790746,fr,magenta
41.243108,-4.403774,it,green
42.429049,-2.542232,es,blue
37.493072,-6.861951,it,green
41.910218,-2.500943,es,blue
39.085887,-0.584655,es,blue
36.486301,-4.776411,es,blue
41.528627,1.535573,ca,aquamarine
39.566023,-0.379299,es,blue
36.916092,-6.049769,es,blue
41.370712,2.022034,pt,black
39.057383,-2.3815,es,blue
42.40178,-8.760386,es,blue
28.490113,-16.370657,es,blue
38.567004,-0.173232,es,blue
38.032505,-0.773839,en,yellow
40.287603,-3.585036,es,blue
41.365949,2.074665,en,yellow
41.064747,0.532953,ca,aquamarine
42.23706,-2.030003,es,blue
43.321302,-5.829711,en,yellow
43.619227,-8.075856,es,blue
38.063374,-0.829075,es,blue
39.502083,-0.372342,es,blue
37.421007,-2.013439,es,blue
39.510434,-2.759548,es,blue
38.666776,-4.973051,es,blue
43.091823,-7.961651,es,blue
41.131575,1.385674,pt,black
39.364717,-0.450599,es,blue
42.677692,-0.313297,pt,black
41.959748,-1.838201,es,blue
36.757783,-3.932771,es,blue
39.703167,3.019569,ca,aquamarine
39.73486,2.661431,es,blue
39.06897,-0.639927,es,blue
41.568647,2.202211,es,blue
41.175873,1.242952,es,blue
40.93769,-4.05106,es,blue
40.998498,-3.40755,es,blue
39.526269,-0.426615,en,yellow
42.384044,-8.88112,es,blue
39.264474,3.027687,ca,aquamarine
41.409894,1.751153,es,blue
27.928529,-15.529121,es,blue
37.296437,-6.905559,es,blue
41.867423,-8.888108,pt,black
38.872145,-3.296633,es,blue
41.739529,2.750212,ca,aquamarine
42.012316,2.234998,ca,aquamarine
28.006109,-15.535034,es,blue
39.741716,-0.656011,it,green
37.187695,-1.917758,es,blue
40.196978,-3.505923,es,blue
40.903093,-5.791662,es,blue
37.843897,-1.523848,es,blue
41.572103,1.577208,es,blue
40.59138,-3.863572,es,blue
41.284682,1.99875,es,blue
41.613987,2.251359,en,yellow
41.428268,0.394582,es,blue
41.485064,2.344001,es,blue
38.749698,-0.737775,es,blue
42.817072,-5.22113,es,blue
36.108531,-5.707336,en,yellow
40.4582,-4.500269,es,blue
42.584072,-5.749047,es,blue
36.24254,-6.162294,es,blue
36.387184,-6.242412,es,blue
28.291553,-16.624937,en,yellow
39.386959,-0.617084,es,blue
41.223291,1.099255,es,blue
43.385096,-5.724547,es,blue
27.998054,-16.73738,en,yellow
40.337403,-5.839389,ca,aquamarine
41.88166,2.166631,es,blue
43.407091,-5.591744,es,blue
28.043783,-14.510212,es,blue
40.308504,-4.461411,ca,aquamarine
41.433463,2.187074,ca,aquamarine
28.614473,-17.833374,es,blue
37.211458,-2.939944,es,blue
42.718048,-7.888057,es,blue
38.686453,-1.523848,es,blue
37.055583,-3.570698,es,blue
40.405628,-4.544576,es,blue
41.919496,-4.654915,es,blue
37.885594,-3.780799,es,blue
39.352337,2.721873,ca,aquamarine
40.174796,-3.821434,es,blue
39.690698,-0.407948,es,blue
39.903874,-4.014618,es,blue
42.203614,3.049995,es,blue
40.132373,-3.717586,es,blue
36.693395,-3.567057,es,blue
43.285883,-1.852136,en,yellow
36.843545,-6.085853,es,blue
37.187197,-5.944403,es,blue
39.407052,-0.734102,es,blue
41.398066,-4.745913,es,blue
37.166904,-1.846906,en,yellow
40.075996,0.014135,es,blue
39.95499,-4.508398,es,blue
37.316641,-6.132786,es,blue
37.045187,-2.009923,es,blue
43.553966,-5.948078,es,blue
42.956301,-6.800112,es,blue
41.352909,2.132062,ca,aquamarine
37.826301,-7.129105,es,blue
43.291804,-3.464836,es,blue
40.140203,-0.818752,es,blue
40.405507,-4.341226,en,yellow
43.330029,-4.01313,es,blue
37.720508,-0.912448,es,blue
40.610291,-3.564179,es,blue
40.199654,-3.884356,es,blue
41.6068,-4.828267,es,blue
42.288828,3.129184,ca,aquamarine
37.135278,-3.778347,es,blue
40.131973,-3.800849,es,blue
41.373736,2.052496,es,blue
41.422033,1.994199,es,blue
39.816657,2.921061,ca,aquamarine
37.293004,-6.257346,es,blue
41.167554,1.172267,es,blue
39.597837,-0.353236,es,blue
36.906437,-5.00372,es,blue
39.470842,-0.793653,es,blue
42.335489,1.427161,es,blue
37.590219,-4.984093,es,blue
